Kreis Bezeichnung RKI;AGS
SK Flensburg;01001
SK Kiel;01002
SK Lübeck;01003
SK Neumünster;01004
LK Dithmarschen;01051
LK Herzogtum Lauenburg;01053
LK Nordfriesland;01054
LK Ostholstein;01055
LK Pinneberg;01056
LK Plön;01057
LK Rendsburg-Eckernförde;01058
LK Schleswig-Flensburg;01059
LK Segeberg;01060
LK Steinburg;01061
LK Stormarn;01062
SK Hamburg;02000
SK Braunschweig;03101
SK Salzgitter;03102
SK Wolfsburg;03103
LK Gifhorn;03151
LK Goslar;03153
LK Helmstedt;03154
LK Northeim;03155
LK Peine;03157
LK Wolfenbüttel;03158
LK Göttingen;03159
Region Hannover;03241
LK Diepholz;03251
LK Hameln-Pyrmont;03252
LK Hildesheim;03254
LK Holzminden;03255
LK Nienburg (Weser);03256
LK Schaumburg;03257
LK Celle;03351
LK Cuxhaven;03352
LK Harburg;03353
LK Lüchow-Dannenberg;03354
LK Lüneburg;03355
LK Osterholz;03356
LK Rotenburg (Wümme);03357
LK Heidekreis;03358
LK Stade;03359
LK Uelzen;03360
LK Verden;03361
SK Delmenhorst;03401
SK Emden;03402
SK Wilhelmshaven;03405
LK Ammerland;03451
LK Aurich;03452
LK Cloppenburg;03453
LK Emsland;03454
LK Friesland;03455
LK Grafschaft Bentheim;03456
LK Leer;03457
SK Oldenburg;03403
LK Oldenburg;03458
SK Osnabrück;03404
LK Osnabrück;03459
LK Vechta;03460
LK Wesermarsch;03461
LK Wittmund;03462
SK Bremen;04011
SK Bremerhaven;04012
SK Düsseldorf;05111
SK Duisburg;05112
SK Essen;05113
SK Krefeld;05114
SK Mönchengladbach;05116
SK Mülheim a.d.Ruhr;05117
SK Oberhausen;05119
SK Remscheid;05120
SK Solingen;05122
SK Wuppertal;05124
LK Kleve;05154
LK Mettmann;05158
LK Rhein-Kreis Neuss;05162
LK Viersen;05166
LK Wesel;05170
SK Bonn;05314
SK Köln;05315
SK Leverkusen;05316
StädteRegion Aachen;05334
LK Düren;05358
LK Rhein-Erft-Kreis;05362
LK Euskirchen;05366
LK Heinsberg;05370
LK Oberbergischer Kreis;05374
LK Rheinisch-Bergischer Kreis;05378
LK Rhein-Sieg-Kreis;05382
SK Bottrop;05512
SK Gelsenkirchen;05513
SK Münster;05515
LK Borken;05554
LK Coesfeld;05558
LK Recklinghausen;05562
LK Steinfurt;05566
LK Warendorf;05570
SK Bielefeld;05711
LK Gütersloh;05754
LK Herford;05758
LK Höxter;05762
LK Lippe;05766
LK Minden-Lübbecke;05770
LK Paderborn;05774
SK Bochum;05911
SK Dortmund;05913
SK Hagen;05914
SK Hamm;05915
SK Herne;05916
LK Ennepe-Ruhr-Kreis;05954
LK Hochsauerlandkreis;05958
LK Märkischer Kreis;05962
LK Olpe;05966
LK Siegen-Wittgenstein;05970
LK Soest;05974
LK Unna;05978
SK Darmstadt;06411
SK Frankfurt am Main;06412
SK Wiesbaden;06414
LK Bergstraße;06431
LK Darmstadt-Dieburg;06432
LK Groß-Gerau;06433
LK Hochtaunuskreis;06434
LK Main-Kinzig-Kreis;06435
LK Main-Taunus-Kreis;06436
LK Odenwaldkreis;06437
SK Offenbach;06413
LK Offenbach;06438
LK Rheingau-Taunus-Kreis;06439
LK Wetteraukreis;06440
LK Gießen;06531
LK Lahn-Dill-Kreis;06532
LK Limburg-Weilburg;06533
LK Marburg-Biedenkopf;06534
LK Vogelsbergkreis;06535
SK Kassel;06611
LK Fulda;06631
LK Hersfeld-Rotenburg;06632
LK Kassel;06633
LK Schwalm-Eder-Kreis;06634
LK Waldeck-Frankenberg;06635
LK Werra-Meißner-Kreis;06636
SK Koblenz;07111
LK Ahrweiler;07131
LK Altenkirchen;07132
LK Bad Kreuznach;07133
LK Birkenfeld;07134
LK Cochem-Zell;07135
LK Mayen-Koblenz;07137
LK Neuwied;07138
LK Rhein-Hunsrück-Kreis;07140
LK Rhein-Lahn-Kreis;07141
LK Westerwaldkreis;07143
SK Trier;07211
LK Bernkastel-Wittlich;07231
LK Bitburg-Prüm;07232
LK Vulkaneifel;07233
LK Trier-Saarburg;07235
SK Frankenthal;07311
SK Landau i.d.Pfalz;07313
SK Ludwigshafen;07314
SK Mainz;07315
SK Neustadt a.d.Weinstraße;07316
SK Pirmasens;07317
SK Speyer;07318
SK Worms;07319
SK Zweibrücken;07320
LK Alzey-Worms;07331
LK Bad Dürkheim;07332
LK Donnersbergkreis;07333
LK Germersheim;07334
SK Kaiserslautern;07312
LK Kaiserslautern;07335
LK Kusel;07336
LK Südliche Weinstraße;07337
LK Rhein-Pfalz-Kreis;07338
LK Mainz-Bingen;07339
LK Südwestpfalz;07340
SK Stuttgart;08111
LK Böblingen;08115
LK Esslingen;08116
LK Göppingen;08117
LK Ludwigsburg;08118
LK Rems-Murr-Kreis;08119
SK Heilbronn;08121
LK Heilbronn;08125
LK Hohenlohekreis;08126
LK Schwäbisch Hall;08127
LK Main-Tauber-Kreis;08128
LK Heidenheim;08135
LK Ostalbkreis;08136
SK Baden-Baden;08211
SK Karlsruhe;08212
LK Karlsruhe;08215
LK Rastatt;08216
SK Heidelberg;08221
SK Mannheim;08222
LK Neckar-Odenwald-Kreis;08225
LK Rhein-Neckar-Kreis;08226
SK Pforzheim;08231
LK Calw;08235
LK Enzkreis;08236
LK Freudenstadt;08237
SK Freiburg i.Breisgau;08311
LK Breisgau-Hochschwarzwald;08315
LK Emmendingen;08316
LK Ortenaukreis;08317
LK Rottweil;08325
LK Schwarzwald-Baar-Kreis;08326
LK Tuttlingen;08327
LK Konstanz;08335
LK Lörrach;08336
LK Waldshut;08337
LK Reutlingen;08415
LK Tübingen;08416
LK Zollernalbkreis;08417
SK Ulm;08421
LK Alb-Donau-Kreis;08425
LK Biberach;08426
LK Bodenseekreis;08435
LK Ravensburg;08436
LK Sigmaringen;08437
SK Ingolstadt;09161
LK München;09162
SK Rosenheim;09163
LK Altötting;09171
LK Berchtesgadener Land;09172
LK Bad Tölz-Wolfratshausen;09173
LK Dachau;09174
LK Ebersberg;09175
LK Eichstätt;09176
LK Erding;09177
LK Freising;09178
LK Fürstenfeldbruck;09179
LK Garmisch-Partenkirchen;09180
LK Landsberg a.Lech;09181
LK Miesbach;09182
LK Mühldorf a.Inn;09183
SK München;09184
LK Neuburg-Schrobenhausen;09185
LK Pfaffenhofen a.d.Ilm;09186
LK Rosenheim;09187
LK Starnberg;09188
LK Traunstein;09189
LK Weilheim-Schongau;09190
SK Landshut;09261
LK Landshut;09274
SK Passau;09262
LK Passau;09275
SK Straubing;09263
LK Deggendorf;09271
LK Freyung-Grafenau;09272
LK Kelheim;09273
LK Regen;09276
LK Rottal-Inn;09277
LK Straubing-Bogen;09278
LK Dingolfing-Landau;09279
SK Amberg;09361
SK Regensburg;09362
LK Regensburg;09375
SK Weiden i.d.OPf.;09363
LK Amberg-Sulzbach;09371
LK Cham;09372
LK Neumarkt i.d.OPf.;09373
LK Neustadt a.d.Waldnaab;09374
LK Schwandorf;09376
LK Tirschenreuth;09377
SK Bamberg;09461
SK Bayreuth;09462
SK Coburg;09463
SK Hof;09464
LK Hof;09475
LK Bamberg;09471
LK Bayreuth;09472
LK Coburg;09473
LK Forchheim;09474
LK Kronach;09476
LK Kulmbach;09477
LK Lichtenfels;09478
LK Wunsiedel i.Fichtelgebirge;09479
SK Ansbach;09561
LK Ansbach;09571
SK Erlangen;09562
SK Fürth;09563
SK Nürnberg;09564
SK Schwabach;09565
LK Erlangen-Höchstadt;09572
LK Fürth;09573
LK Nürnberger Land;09574
LK Neustadt/Aisch-Bad Windsheim;09575
LK Roth;09576
LK Weißenburg-Gunzenhausen;09577
SK Aschaffenburg;09661
LK Aschaffenburg;09671
SK Schweinfurt;09662
SK Würzburg;09663
LK Bad Kissingen;09672
LK Rhön-Grabfeld;09673
LK Haßberge;09674
LK Kitzingen;09675
LK Miltenberg;09676
LK Main-Spessart;09677
LK Schweinfurt;09678
LK Würzburg;09679
SK Augsburg;09761
LK Augsburg;09772
SK Kaufbeuren;09762
SK Kempten;09763
SK Memmingen;09764
LK Aichach-Friedberg;09771
LK Dillingen a.d.Donau;09773
LK Günzburg;09774
LK Neu-Ulm;09775
LK Lindau;09776
LK Ostallgäu;09777
LK Unterallgäu;09778
LK Donau-Ries;09779
LK Oberallgäu;09780
LK Stadtverband Saarbrücken;10041
LK Merzig-Wadern;10042
LK Neunkirchen;10043
LK Saarlouis;10044
LK Saar-Pfalz-Kreis;10045
LK Sankt Wendel;10046
Berlin;11000
SK Brandenburg a.d.Havel;12051
SK Cottbus;12052
SK Frankfurt (Oder);12053
SK Potsdam;12054
LK Barnim;12060
LK Dahme-Spreewald;12061
LK Elbe-Elster;12062
LK Havelland;12063
LK Märkisch-Oderland;12064
LK Oberhavel;12065
LK Oberspreewald-Lausitz;12066
LK Oder-Spree;12067
LK Ostprignitz-Ruppin;12068
LK Potsdam-Mittelmark;12069
LK Prignitz;12070
LK Spree-Neiße;12071
LK Teltow-Fläming;12072
LK Uckermark;12073
LK Rostock;13072
SK Schwerin;13004
LK Mecklenburgische Seenplatte;13071
LK Vorpommern–Rügen;13073
LK Nordwestmecklenburg;13074
LK Vorpommern–Greifswald;13075
LK Ludwigslust–Parchim;13076
SK Chemnitz;14511
LK Erzgebirgskreis;14521
SK Rostock;13003
LK Mittelsachsen;14522
LK Vogtlandkreis;14523
LK Zwickau;14524
SK Dresden;14612
LK Bautzen;14625
LK Görlitz;14626
LK Meißen;14627
LK Sächsische Schweiz-Osterzgebirge;14628
SK Leipzig;14713
LK Leipzig;14729
LK Nordsachsen;14730
SK Dessau-Roßlau;15001
SK Halle;15002
SK Magdeburg;15003
LK Altmarkkreis Salzwedel;15081
LK Anhalt-Bitterfeld;15082
LK Börde;15083
LK Burgenlandkreis;15084
LK Harz;15085
LK Jerichower Land;15086
LK Mansfeld-Südharz;15087
LK Saalekreis;15088
LK Salzlandkreis;15089
LK Stendal;15090
LK Wittenberg;15091
SK Erfurt;16051
SK Gera;16052
SK Jena;16053
SK Suhl;16054
SK Weimar;16055
SK Eisenach;16056
LK Eichsfeld;16061
LK Nordhausen;16062
LK Wartburgkreis;16063
LK Unstrut-Hainich-Kreis;16064
LK Kyffhäuserkreis;16065
LK Schmalkalden-Meiningen;16066
LK Gotha;16067
LK Sömmerda;16068
LK Hildburghausen;16069
LK Ilm-Kreis;16070
LK Weimarer Land;16071
LK Sonneberg;16072
LK Saalfeld-Rudolstadt;16073
LK Saale-Holzland-Kreis;16074
LK Saale-Orla-Kreis;16075
LK Greiz;16076
LK Altenburger Land;16077
